stop_id,name,district,ridership,dispatch_interval,dispatch_half,cai_normalized,lat,lon,pm25,pm10,o3,no2,so2,co,pm25_index,pm10_index,o3_index,no2_index,so2_index,co_index,cai,cai_grade,main_pollutant,priority_v1,priority_v2,pollution_exposure,priority_v4,ridership_log,cai_ridership,pollution_exposure_v2,total_exposure,is_high_traffic,is_high_pollution,is_long_wait
106000233,경남아파트.서울특별시북부병원(00007),중랑구,109725,13.0,6.5,0.5852,37.60382609,127.1071131,18.6661,31.86,0.0319,0.017,0.0027,0.3993,59.2,51.9,51.6,28.4,6.8,10.0,59.2,보통,초미세먼지,0.3125928417879098,0.25435222564482757,0.00524784451173417,0.31011141014549176,11.605741628208229,6.49572,384.8,42.22218,0,0,1
106000234,서울특별시북부병원(00062),중랑구,61689,13.75,6.875,0.5852,37.604098,127.107178,18.6611,31.859,0.0319,0.017,0.0027,0.3995,59.2,51.9,51.6,28.4,6.8,10.0,59.2,보통,초미세먼지,0.3148161882181778,0.2520622452902296,0.0031206311941813104,0.30902942586181337,11.029877122203684,3.6519888000000003,407.0,25.107423000000004,0,0,1
106000235,양원역입구(00006),중랑구,184914,13.0,6.5,0.5778,37.60553989,127.1061947,18.6354,31.8491,0.032,0.017,0.0027,0.4002,59.1,51.8,51.6,28.4,6.8,10.0,59.1,보통,초미세먼지,0.31642648005602475,0.26158416452848154,0.008731978826622291,0.3147117760672297,12.127651539017164,10.9284174,384.15000000000003,71.0347131,1,0,1
106000236,양원역입구(00063),중랑구,89148,13.75,6.875,0.5778,37.60563981,127.1063013,18.6336,31.849,0.032,0.017,0.0027,0.4003,59.1,51.8,51.6,28.4,6.8,10.0,59.1,보통,초미세먼지,0.3146488235950589,0.2532926798370328,0.004452601527858358,0.30882858831407073,11.39806440617846,5.2686468,406.3125,36.22194675,0,0,1
106000237,양원리(00006),중랑구,94301,13.3333333333333,6.66666666666666,0.563,37.60952784,127.1065902,18.5671,31.8342,0.0322,0.017,0.0027,0.4027,58.9,51.8,51.8,28.4,6.8,10.1,58.9,보통,초미세먼지,0.30667028384077755,0.2474128331685738,0.004450138758466114,0.3013376739422665,11.454257677304385,5.5543289,392.66666666666623,37.028859333333294,0,0,1
106000238,양원리(00005),중랑구,160751,13.3333333333333,6.66666666666666,0.563,37.60963618,127.1065048,18.5652,31.8335,0.0322,0.017,0.0027,0.4027,58.9,51.8,51.8,28.4,6.8,10.1,58.9,보통,초미세먼지,0.31224050471072284,0.2557681644734917,0.007585966803768636,0.3080219389862008,11.987618083702095,9.4682339,392.66666666666623,63.121559333333266,0,0,1
106000239,동서울교회(00007),중랑구,5042,13.3333333333333,6.66666666666666,0.5556,37.61175222,127.1052682,18.5284,31.8211,0.0322,0.017,0.0027,0.4035,58.8,51.8,51.9,28.4,6.8,10.1,58.8,보통,초미세먼지,0.2967189457112889,0.23396730745582228,0.0002348052305514928,0.28939606818688,8.525756422076725,0.2964696,391.9999999999996,1.976463999999998,0,0,1
106000240,동서울교회(00004),중랑구,10115,13.3333333333333,6.66666666666666,0.5556,37.61158521,127.1052575,18.531,31.8216,0.0322,0.017,0.0027,0.4034,58.8,51.8,51.9,28.4,6.8,10.1,58.8,보통,초미세먼지,0.2971441937244301,0.23460517947553408,0.0004710541267410452,0.2899063658026495,9.221873607789856,0.594762,391.9999999999996,3.965079999999996,0,0,1
106000241,중랑공영차고지(00088),중랑구,6678,12.8125,6.40625,0.5481,37.61364523,127.1020231,18.4874,31.8011,0.0323,0.017,0.0027,0.4039,58.7,51.8,51.9,28.4,6.8,10.1,58.7,보통,초미세먼지,0.29004667105268606,0.22934662694939933,0.00029486073148526085,0.28399350526322326,8.806723554725636,0.39199860000000003,376.046875,2.51124103125,0,0,1
106000249,면목아남아파트(00010),중랑구,18957,11.0,5.5,0.6222,37.5903178,127.0850893,18.8972,31.8734,0.0309,0.0168,0.0027,0.3827,59.7,51.9,50.8,28.0,6.8,9.6,59.7,보통,초미세먼지,0.30066315875475974,0.24405029368769504,0.0008157301360852326,0.3057957905057117,9.849981285012987,1.1317329,328.35,6.224530950000001,0,0,0
106000250,중랑소방서(00112),중랑구,15149,10.6,5.3,0.5407,37.61487459,127.0952203,18.432,31.7619,0.0324,0.017,0.0027,0.4044,58.6,51.8,52.0,28.4,6.8,10.1,58.6,보통,초미세먼지,0.26985012315073315,0.21712703657795146,0.0005459056846160041,0.27082014778087976,9.625755810937516,0.8877314000000001,310.58,4.7049764199999995,0,0,0
106000251,세방아파트입구(00017),중랑구,21677,11.0,5.5,0.5259,37.61511,127.08462,18.3405,31.6806,0.0325,0.017,0.0027,0.4061,58.4,51.7,52.1,28.3,6.8,10.2,58.4,보통,초미세먼지,0.2687923993537557,0.2155034138454483,0.0007884154699446931,0.2675508792245068,9.984053200375696,1.2659368,321.2,6.9626524000000005,0,0,0
