NODE_ID,avg_headway_min,표준버스정류장ID,역명,자치구,승차총승객수,wait_exposure
100900083,10.0,100900083,화인빌라(00010),종로구,1446.0,14460.0
100900085,2.25,100900085,서울대어린이병원응급실.갑상선센터(00011),종로구,3177.0,7148.25
100900086,1.6666666666666667,100900086,헌법재판소.안국역(00002),종로구,24827.0,41378.333333333336
100900088,2.75,100900088,무악현대아파트후문(00009),종로구,31293.0,86055.75
100900089,10.0,100900089,박종화고택입구(00009),종로구,718.0,7180.0
100900090,1.75,100900090,이화사거리(00013),종로구,27773.0,48602.75
100900091,3.75,100900091,산정빌라(00009),종로구,322.0,1207.5
100900092,1.6666666666666667,100900092,아름다운가게.정독도서관(00001),종로구,49486.0,82476.66666666667
100900093,2.25,100900093,쌍용아파트입구.창신역(00008),종로구,48857.0,109928.25
100900094,2.75,100900094,린덴바움숲유치원(00008),종로구,29009.0,79774.75
100900095,10.0,100900095,보현산신각(00008),종로구,1026.0,10260.0
100900096,2.25,100900096,원남로터리(00009),종로구,10587.0,23820.75
100900097,3.75,100900097,문방구(00008),종로구,1379.0,5171.25
100900098,10.0,100900098,평창동산림제3초소(00017),종로구,2687.0,26870.0
100900099,1.7857142857142856,100900099,통인시장.종로구보건소(00017),종로구,8666.0,15474.999999999998
100900100,2.5,100900100,삼청파출소(00017),종로구,4880.0,12200.0
100900101,3.75,100900101,종로사우나(00009),종로구,67650.0,253687.5
100900102,2.75,100900102,종로도서관(00016),종로구,19736.0,54274.0
100900103,10.0,100900103,평창공원지킴터입구(00016),종로구,1221.0,12210.0
100900104,2.5,100900104,오거리.한옥마을입구(00016),종로구,2431.0,6077.5
100900105,2.5,100900105,정독도서관(00016),종로구,8041.0,20102.5
100900106,3.75,100900106,인사동들머리.3.1독립선언터(00008),종로구,6436.0,24135.0
100900107,0.984375,100900107,종로5가역.중부교육지원청(00015),종로구,396794.0,390594.09375
100900108,2.75,100900108,황학정앞(00015),종로구,4424.0,12166.0
100900109,10.0,100900109,참샘골공원(00015),종로구,2082.0,20820.0
100900110,4.5,100900110,성균관대정문(00003),종로구,9857.0,44356.5
100900111,2.5,100900111,광화문새마을금고(00015),종로구,10221.0,25552.5
100900112,3.75,100900112,상명초등학교(00015),종로구,676.0,2535.0
100900113,2.75,100900113,단군성전앞(00014),종로구,2270.0,6242.5
100900114,10.0,100900114,무애사(00014),종로구,1515.0,15150.0
100900115,3.75,100900115,서교빌라(00014),종로구,1162.0,4357.5
100900116,1.1971830985915495,100900116,종각역YMCA(00006),종로구,164169.0,196540.35211267608
100900117,2.25,100900117,동대문역.2번출구(00013),종로구,57114.0,128506.5
100900118,2.75,100900118,종로문화체육센터(00013),종로구,27514.0,75663.5
100900119,10.0,100900119,EN갤러리(00013),종로구,1575.0,15750.0
100900120,3.75,100900120,경진빌라(00013),종로구,1741.0,6528.75
100900121,1.6666666666666667,100900121,종로2가.탑골공원(00005),종로구,73299.0,122165.0
100900122,2.25,100900122,창신초교(00021),종로구,16960.0,38160.0
100900123,2.75,100900123,교남동새마을금고(00023),종로구,19644.0,54021.0
100900124,10.0,100900124,형제봉입구(00021),종로구,517.0,5170.0
100900125,3.75,100900125,현대사거리(00013),종로구,2915.0,10931.25
100900126,2.75,100900126,대신중고(00021),종로구,46752.0,128568.0
100900127,10.0,100900127,연화정사(00020),종로구,1429.0,14290.0
100900128,1.75,100900128,이화사거리(00020),종로구,26353.0,46117.75
100900129,2.5,100900129,삼청공원삼거리.옥호정터(00020),종로구,363.0,907.5
100900131,1.6666666666666667,100900131,재동초등학교(00012),종로구,11171.0,18618.333333333336
100900133,2.75,100900133,카센터.사직터널앞(00020),종로구,14272.0,39248.0
100900134,10.0,100900134,감람산기도원(00019),종로구,588.0,5880.0
100900135,2.5,100900135,금융연수원(00019),종로구,349.0,872.5
100900137,2.25,100900137,충신시장(00018),종로구,72268.0,162603.0
100900138,2.75,100900138,사직공원.경복궁역입구(00018),종로구,94307.0,259344.25
100900139,10.0,100900139,김창열.윤명로화실(00018),종로구,913.0,9130.0
100900140,2.5,100900140,박노수미술관(00018),종로구,1443.0,3607.5
100900141,2.5,100900141,삼청동주민센터(00018),종로구,894.0,2235.0
100900142,3.75,100900142,상명대입구(00018),종로구,228.0,855.0
100900143,2.25,100900143,대학로입구.이화사거리(00017),종로구,166780.0,375255.0
100900144,3.75,100900144,운현궁(00010),종로구,2407.0,9026.25
100900145,2.75,100900145,배화여중고.매동초교(00017),종로구,32275.0,88756.25
100900147,3.0,100900147,감사원(00024),종로구,3247.0,9741.0
100900148,2.25,100900148,청룡사.보문파크뷰자이아파트(00025),종로구,11919.0,26817.75
100900149,2.75,100900149,강북삼성병원(00027),종로구,4175.0,11481.25
100900151,1.75,100900151,혜화초등학교(00025),종로구,27606.0,48310.5
100900152,3.75,100900152,상명대입구(00025),종로구,46848.0,175680.0
100900153,3.0,100900153,사우디대사관.북촌힐스(00023),종로구,2752.0,8256.0
100900154,2.75,100900154,서울시교육청(00026),종로구,17955.0,49376.25
100900155,10.0,100900155,김종영미술관(00024),종로구,2738.0,27380.0
100900156,3.75,100900156,세검정교회(00024),종로구,8044.0,30165.0
100900157,3.0,100900157,안국선원.삼거리(00022),종로구,1756.0,5268.0
100900159,2.75,100900159,스위스대사관(00025),종로구,531.0,1460.25
100900160,10.0,100900160,보현빌라(00023),종로구,3696.0,36960.0
100900161,3.75,100900161,하림각(00023),종로구,13237.0,49638.75
100900162,3.0,100900162,북촌한옥마을입구.정세권활동터(00021),종로구,5815.0,17445.0
100900163,2.25,100900163,숭인1동주민센터(00022),종로구,29177.0,65648.25
100900164,2.75,100900164,월암공원(00024),종로구,12001.0,33002.75
100900165,10.0,100900165,지구촌교회(00022),종로구,5666.0,56660.0
100900166,3.75,100900166,석파정.서울미술관(00022),종로구,10970.0,41137.5
100900167,3.75,100900167,볼링장(00014),종로구,3420.0,12825.0
100900168,3.0,100900168,가회동주민센터(00020),종로구,7042.0,21126.0
100900169,1.75,100900169,새마을금고(00028),종로구,26664.0,46662.0
100900170,3.75,100900170,상명초등학교(00028),종로구,3763.0,14111.25
100900171,1.75,100900171,서울국제고등학교(00027),종로구,3986.0,6975.5
100900172,3.0,100900172,통일부(00025),종로구,158.0,474.0
100900173,2.25,100900173,종로센트레빌후문.e편한세상보문아파트(00026),종로구,1461.0,3287.25
100900174,2.5,100900174,국립민속박물관(00005),종로구,89816.0,224540.0
100900177,2.5,100900177,경복궁역(00014),종로구,152691.0,381727.5
