표준버스정류장ID,역명,자치구,승차총승객수
105900003,장미예식장(00032),동대문구,3143
110000311,대림벽산아파트(00027),노원구,3136
107900208,한신103동앞(00021),성북구,3132
119900213,동아아파트(00025),동작구,3131
110000258,을지중학교(00026),노원구,3122
116900033,현대IPARK후문(00016),구로구,3113
112900047,인창중고(00015),서대문구,3111
119900222,빙수골공영주차장(00016),동작구,3111
118900016,골프장(00005),영등포구,3093
119900098,보라매어린이집.문창중학교(00014),동작구,3084
116900283,개봉푸르지오정문(00007),구로구,3075
116900284,개봉1동사거리(00008),구로구,3074
112900169,천연동마을금고(00004),서대문구,3073
113900193,동교초등학교(00034),마포구,3066
124000471,신암중.선사고(00018),강동구,3064
100000421,유림회관앞(00004),종로구,3063
112900027,미성아파트(00019),서대문구,3049
106000261,엘림재가방문요양센터(00062),중랑구,3035
123900015,가락동부센트레빌아파트(00019),송파구,3029
108900047,빨래골(00025),강북구,3024
107900193,월곡중학교(00032),성북구,3024
111900006,현대홈타운아파트(00005),은평구,3024
100900219,600주년기념관(00020),종로구,3023
115900178,대영마트(00039),강서구,2994
116900076,오류고등학교.수궁동복지회관(00011),구로구,2994
116900289,거성슈퍼(00006),구로구,2982
115000320,개화역광역환승센터(00074),강서구,2968
101900004,염천교(00015),중구,2964
121900317,서초포레스타5단지정문(00004),서초구,2956
107900105,한진207동앞(00026),성북구,2955
111901116,서신초교.내를건너서숲으로도서관(00003),은평구,2949
112900023,동원빌라(00019),서대문구,2947
110000655,불암산역(00003),노원구,2936
107900152,한성대입구사거리(00035),성북구,2934
103900243,성수대교북단교차로(00025),성동구,2927
115000032,한서고등학교.보람아파트(00076),강서구,2926
119900089,유앤미아파트(00027),동작구,2924
120900117,개미유통(00019),관악구,2923
103900006,두산아파트109동(00011),성동구,2915
100900125,현대사거리(00013),종로구,2915
118000295,고추말(00015),영등포구,2893
107900279,산장아파트(00027),성북구,2892
107900019,극동아파트정문(00004),성북구,2892
112900167,인창중고(00032),서대문구,2881
107900273,산림초소(00001),성북구,2868
103900071,신동아아파트후문(00011),성동구,2867
104900018,장신대앞(00021),광진구,2858
113900261,마포16번종점(00039),마포구,2845
115900142,강서구청후문(00023),강서구,2841
110900057,포레나노원(00020),노원구,2836
102000111,용산중고(00065),용산구,2826
116900077,낙원할인마트(00005),구로구,2825
110000398,월계미륭아파트(00024),노원구,2822
105000567,래미안엘파인아파트.장안동성당(00082),동대문구,2817
118000601,신길바다마을아파트.보라매sk뷰(00035),영등포구,2816
103900287,한양대학교백남학술정보관(00018),성동구,2804
113900057,도화현대1차아파트111동앞(00011),마포구,2804
115900284,마곡우림필유아파트(00028),강서구,2802
116900266,동부그린아파트(00039),구로구,2800
112900105,버드나무가게(00003),서대문구,2796
103900080,우리은행.백범학원터(00015),성동구,2793
111900027,구산마트(00022),은평구,2782
119900216,동작하이슈퍼(00022),동작구,2781
107000236,석계역(00119),성북구,2780
116900057,경남아파트앞(00026),구로구,2777
108900268,실버복지센터(00010),강북구,2773
122900077,세곡푸르지오(00046),강남구,2768
115900067,정은파크빌(00040),강서구,2762
100900153,사우디대사관.북촌힐스(00023),종로구,2752
100900155,김종영미술관(00024),종로구,2738
103000139,SK테크노빌딩앞(00045),성동구,2732
110900097,대동아파트(00022),노원구,2730
119900293,흑석한강푸르지오(00006),동작구,2726
112900029,명진아트빌라(00017),서대문구,2724
121000976,반포자이아파트(00031),서초구,2721
115900247,방신전통시장앞(00008),강서구,2706
119900224,하손초장교회(00014),동작구,2701
123900052,잠실역.시그마타워(00009),송파구,2699
104900024,성수대우프레시아1차아파트(00006),광진구,2691
100900098,평창동산림제3초소(00017),종로구,2687
124000480,고덕풍경채어바니티(00049),강동구,2683
113900143,도화현대1차아파트111동앞(00029),마포구,2670
108900032,인수초중학교(00028),강북구,2669
110900115,노일중학교(00007),노원구,2668
119900295,푸르지오후문(00004),동작구,2667
120900176,신협(00027),관악구,2656
117900175,시흥5동성당(00022),금천구,2648
110000023,현대성우아파트(00018),노원구,2646
123000378,문정3차푸르지오아파트.송파파인타운1단지(00052),송파구,2645
107900061,성북노인정입구(00008),성북구,2640
107900066,수녀원(00007),성북구,2631
117000226,대륭테크노타운17차(00031),금천구,2627
108900161,솔샘중고등학교(00028),강북구,2621
100900019,마트앞(00034),종로구,2617
109900180,도봉중학교후문(00035),도봉구,2609
121900310,서초포레스타3단지정문(00041),서초구,2601
115900249,프라임마트(00010),강서구,2599
110000194,청백아파트3단지4단지(00026),노원구,2597
124900022,강일리버파크1단지103동(00006),강동구,2589
121900287,신흥마을입구(00006),서초구,2580
124000186,상일동주몽재활원(00039),강동구,2575
118900084,문래자이정문(00026),영등포구,2572
107900218,창신쌍용2단지.한성대후문(00028),성북구,2563
107000135,동방문화대학원대학교(00030),성북구,2562
103900198,선영약국(00014),성동구,2557
115900151,등촌5단지(00034),강서구,2546
115900240,방송인아파트(00055),강서구,2522
107000214,보문2교(00026),성북구,2519
113900298,서부면허시험장.월드컵파크8단지(00040),마포구,2502
121000240,본마을(00023),서초구,2497
123000541,송파파인타운아파트11단지(00002),송파구,2486
